,label,text
0,6,그렇다니까?
1,2,"택배기사들이며 배달하는 사람들이며, 그 사람들은 정말 죽어나겠다. 얼마나 고생이야."
2,3,무슨 말을 또 이렇게 살벌하게 해.
3,6,음주운전 하신 게 자랑인가요.
4,7,무릎 때문에? 그럼 우리 집에 오셔. 우리 집에 무릎에 좋은 게 있어요.
5,2,연아는 요즘 힘든 일은 없니?
6,4,아 진짜요? 아.. 안 되는데...
7,7,엄마야 어떡하냐. 희라엄마 알면 큰일 나겠다.
8,7,앞으로 더 자주 찾아 뵐게요. 선생님께 아직 배울 게 많습니다.
9,4,그렇지. 지금까지 한 번도 가본 적이 없으니까.
10,6,영희 자매님은 지금 교회 사택에서 아주 잘 계십니다. 아드님 걱정이 이만저만이 아니에요..
11,6,뭘 잘 못 키워..? 나는 친구도 많고 학교에서도 잘 지내.. 근데 하태민은 친구도 없고 별론데?
12,7,아…아 맞다! 그러면 그 어디지? 역 근처에 있는 파스타집 어때요? 거기 맛있잖아요.
13,6,내가 뭐 쌍욕을 했냐 뭘 했냐!
14,5,별로 걱정 안 하세요. 그냥 알아서 잘 하겠거니 하세요.
15,5,선배. 뭣 하러 축의금을 그렇게 많이 내셨어요.
16,6,안돼. 신중해야되는 타이밍이야.
17,6,근데 3개월 후에는 시간이 아예 안 되는 거에요? 사장 입장에서는 오래 일하는 사람들이 아무래도 필요하니까...
18,6,뭘 개선을 해요?
19,7,그래! 멍석 깔아 줬을 때 하란 말이야!
20,6,아니. 남녀가 화장실을 같이 써서 좋을 게 뭐 있겠어요. 불편할거 같은데.
21,5,헤드폰 잭?
22,4,어제 말씀 하시지 그러셨어요.
23,6,하….
24,2,거기… 호텔 화장실 벽이 얇잖아…
25,7,저는 이제 친구 만나러 가는 길인데.
26,1,네. 중3입니다.
27,1,너 뭐 보는 드라마 같은 거 없어?
28,6,"정동진? 갑자기? 거기야 뭐, 밀레니엄이다~ 해서 해 보러 갔던 데 아니야."
29,6,차 마시러 왔나 보네.
30,7,저도 초대해주세요. 술 사들고 놀러 가겠습니다.
31,6, 알죠 형님. 제가 죄송해서 돈도 드리는 거잖아요.
32,6,"아니, 어르신. 6천원어치…. 그런게 아니고요.  이렇게 한 상자, 패키지로 이렇게 66만원 나가는 거에요."
33,7,인재. 인재라는 말이야.
34,5,내 핸드폰을 떨어 뜨리고는 사과를 안하더라고. 그냥 어이쿠! 이러고 말던데?
35,7,그럼. 수익률이 훨씬 좋잖아.
36,6,"어이구, 치사한 거.  할머니 TV 좀 보는 게 그렇게 꼴 보기 싫으냐?"
37,2,"예전에 김대리가 인사부에 얘기했다가, 부장님한테 미운털 제대로 박혔잖아요."
38,6,내가 안 오면 어떡해.  그럼 아빠가 준서 아빠 아니잖아.
39,6,아버지 연세 때는 갑자기 쓰러질 수도 있단 말이에요.        제가 걱정이 돼서 밤에 잠을 못 자요.
40,4,형… 나 아래 까지만 데려다 주면 안돼?
41,7,어! 잘생겼잖아! 그래서 좋다고!  준호오빠만큼 잘생긴 애들이 없잖아!
42,6,이렇게 이렇게. 날개랑 꼬리랑 만들어서.
43,6,지훈이가 귀신 있다고 그랬단 말이야.
44,6,그런 게 뭐가 있어요?
45,1,"네. 진짜 담배처럼 불에 태우고, 연기 나고 그런 게 아니고,       수증기만 나오는 건데요. 그래서 몸에도 덜 나쁘고,       냄새도 안 나고 그렇대요."
46,0,"어머, 자기 무슨 시력이 독수리야? 그리고 헬스하는 사람들은, 자기 운동하기 바빠서, 딴 데 보지도 않아~"
47,4,외로운가봐.
48,4,어제 화장품을 잘못 썼나봐.
49,1,우리 이불을 좀 새로 살까?
50,3,"너 때문에 주소 옮기고, 교장한테 돈 먹이고, 어? 너 때문에 쓴 돈이 얼만줄이나 알아? 너한테 들어간 돈이 얼만 줄 아냐고."
51,5,"언니, 이번에 차 새로 샀다며?"
52,5,어디?
53,7,그 교수가 내 친구에요.
54,1,아 그래야지. 이번에 수영 시작했어. 나도 몸 생각 좀 해야지 안되겠네.
55,4,이제 열두 살.
56,6,그럼…. 신도님께선 이 일을 뉘우치시나요?
57,0,아니라고!!!
58,2,그 분들은 정신적인 충격이 굉장히 크세요.
59,6,적어도 인사 정도는 예의바르게 해야할거 아냐.
60,7,아 진짜 그러네.
61,6, 으 쓰다.
62,4,그렇죠 뭐. 근데 이제는 적응해서 괜찮아요.
63,4,하… 나도 30년 전에는 행복했는데…
64,7,어. 나 좋아하는 누나가 173센치란 말이야. 누나가 하이일 좋아한댔어. 누나보다 7센치 더 커야 돼.
65,7,비비가자 만두 아주 맛있다.
66,1,힘들게 익혀야 진짜야.
67,4,아니 그건 아닌데….엄마가 저한테 관심을 좀 덜 주니까요.
68,4,하… 엄마… 이제 어디 가지말고 우리 둘이 그냥 잘 살면 안돼?
69,6,엄마한테 말하면 안된다? 알았지?
70,2,어. 망했네.
71,1,그러게.. 어떻게 해야 하려나?
72,6,장사가 없다고?
73,6,알았어. 쓸 데 없는 걱정 좀 하지 말어.
74,6,"섣부르게 결정하지 말고, 생각을 좀 해보자."
75,6,오늘 떼씬이지? 정신 없겠다.
76,7,치킨이나 피자.
77,1,응. 당연하지! 안 괴롭히고 엄청 잘해준다고.
