text,label
최대리님이 오늘 손님 오실거라고 하셨거든요 혹시 차나 커피라도? 제것 타러 가는 길이어서요,7
"너 한 이 년 전까지는 엄마랑 완전 싸웠잖아.       그럴 때마다 나한테 전화해서, 엄마랑 못살겠다고 난리치고.",1
그렇죠 여기 결혼식장이 가까워서 우연히 온 거니까.. 다시 올 일은 아예 없다고 봐야죠..,4
너 향수 뭐 써?,5
알아. 누가 몰라서 그래?,0
저도 그 방향으로 가요. 데려다 드릴까요?,7
오늘은 케이크 안 드시네요?,7
나? 글쎄… 안 해본지 한참 되어서. 한 오십 개 하려나?,1
어? 꼬마야. 이거는 술인데? 너는 못 사.,6
아 맨날 엄마랑 하잖아. 아빠는 내 인생에 도움이 안돼.,4
아 맞다. 잊어버렸다.,5
 니 아빤 정말 왜 이렇게 사람 속을 긁는 말만 한대니?,4
그러니까 말이야. 내가 그 날 짜장면이랑 탕수육 산다.,7
"어. 돈 아끼려다가, 죽으면 진짜 너무 손해니까.",0
"그랬으면 너는 상은 못차려도, 밥이라도 사드려야 하는게 맞는거 아니야?",6
 혜진아. 자.,7
됐어... 김상훈. 너는 내 친구도 아니야.,0
그럼 그래도 되지. 언제 시간 되니? 두 단계 위 레벨은 토요일에도 하루 더 수업하는데 그날 와서 볼래?,7
"나, 아까부터 왔지. 오빤 왜 이제와.",6
아이고…. 미안해라… 우리가 지금 마침 된장도 똑 떨어졌어… 지금 직원이 막 사러 갔는데…,6
 고마워. 너는 너네 아빠보다 훨 멋지다 야.,7
아님 뭔데?,6
"아들 있는 놈은 딸 있다고 부러워하고, 딸 있는 놈은 아들 있다고 부러워하고.",4
농담이라니까~ 좀 알려주라~,2
"지훈씨, 내가 다른 작업 하고 있는 동안, 내일 있을 회의 안건 좀 정리해주세요. 어제 회의 했던 거 회의록도 좀 만들어주시구요.",1
전제가 잘못 됐어. 전공을 버려.,6
우리 솔직히 노트북 좀 바꿔줘야 되는거 아니에요?,6
"응.. 복도나 화장실.. 그런 데 갈때마다 미칠 것 같아. 하, 지금도 너무 힘들어.",6
"근데… 그렇게 물어보면, 고모부가 진짜 화내시지 않을까? 나 또 혼나면 어떡해?",2
지금은 여기에 집중해야지. 토플 점수를 따 놔야 특별전형을 쓸 거 아니야.,0
무슨 소릴 하는 거야 갑자기.,6
치킨? 치킨도 살 찌잖아. 너 바보야?,7
해나 지금 학원 갔는데? 어떡하지.,4
네. 혹시 빈혈은 없으세요?,7
"사실 미국으로 예정 되어 있었는데, 마음에 걸리는 일이 있어서 고민 중이에요.",1
"주말이면, 오빠는 맨날 지방 맛집 찾아 다니는데, 나만 쭈글이 처럼 맨날 맛집 방송 되돌려보고… 억울해!",0
알았어. 선생님이 그러지 않도록 노력해볼게. 알았지? 반장이 애들한테도 전해주고.,6
잘못했어요…,4
싫다면?,0
그런가... 근데 일찍 누워도 잠이 안 와.,5
초코…? 그것도 먹는거잖아.,6
애가 지금 몇 살이에요?,7
너 요즘 많이 바쁘니?,5
그러니까. 내 말 들을 때도 됐잖아. 내가 너랑 싸우는 거 좋아서 이러겠냐?,0
할아버지 최고! 그럼 제가 안마 열 번 해드릴게요!,7
음… 사주까지는 모르겠지만 사람이라는게 팔자가 있는 것 같기도 하고..,6
저 그냥.. 저는 물건 같은 거 찍는 거 좋아해요.,7
그냥 해도 된다니까.,0
너희 엄마랑 너?,5
"아니야! 집이 불 타는 꿈, 엄청 좋은 꿈이야.",1
"몰라, 나 시계 못 읽어. 할머니 딱 5분만, 응?",0
그 슴슴한 맛 좋다고 사먹는 사람들은 다 뭔가 내면에 문제가 있더라고.,6
"아, 법이 좀 더 단호하고 엄격하고, 범죄자들을 다스려야 하는데.. 술마셨다고 봐주는게 제일 어이없어.",3
왜? 무슨 일이야?,5
할머니는 요리 엄청 잘하시잖아요. 할머니가 해주는 음식 다 맛있던데…,4
벌써??? 와. 아린이 보면 시간 가는 게 훅 느껴진다.  너가 맨날 나 만날 때 아린이 떼놓고 오니까 그러지. 난 아린이 보고 싶은데.,5
어차피 대학 졸업하면 독립할 거 아니야.  미리 한다고 뭐 다르겠어?,0
6개월이면 뭐. 그 정도면 충분히 긴 시간이긴 하죠. 물론 더 오래 일하면 나는 좋지만.,7
그러니까요.. 진짜 짜증나게… 비밀번호는 왜 걸어놓으셔가지고….,0
됐다. 됐어. 내가 너랑 무슨 말을 하니. 기다려봐. 고모가 엄마랑 통화 좀 하고 올 테니까.,6
아 답답하니까 빨리 말해봐.,0
미안해.,2
"그래, 얼른 걷자, 혹시 또 비 쏟아질지 몰라. 내가 도와줄게.",7
버스 대절해야지.,6
이우석?,1
학교에서 가라고 했으니까 왔죠. 제가 어떻게 알아요. 아 진짜. 그냥 빨리 끝내요.,0
좋죠. 같이 직관 한번 가요.,7
반장 되니까 애들이 저한테 부탁하는 게 너무 많아요. 좀 힘들어요.,6
정치인들도 정치를 잘못하고 있어. 아주 나라를 말아먹으려고 한다니까.,6
"그러면, 저 사주세요. 제가 맛보고 맛을 설명해 드릴 게요.",7
부모님 차를 종종 끌고 다녀서 실운전도 가능합니다.  무슨 일이세요 교수님?,2
"됐어. 한번 더 보증 서면, 니 형수랑 이혼하기로 했어.",6
안되겠다. 오늘 육회 먹어야겠다.,1
너만 어려워하는 게 아니야. 다들 확률을 제일 어려워해.,1
그런데 왜 수업에선 소금간 안하세요?,5
와. 그렇게 먼 미래를 벌써 생각해?,5
까불지 말고. 엄마 진짜야.,6
"확실하지는 않은데, 왜?",1
너가 좀 그리다가 정 힘들면 나한테 헬프 해.,3
하.... 설마... 이팀장....?,0
미세먼지 많잖아,0
헐...,5
좋았겠어요. 원래 공원에서 시간 보내는 거 좋아해요?,4
"여기, 밤 9시만 되면 흐느끼는 소리 들린다고 했단 말이야. 그거 찍고 가야지.",6
"너, 임마.. 귀신 잡는 해병대 아니냐…?",7
저 알바해요.,7
오빠 모쏠이야?,5
그니까 그게 뭐가 중요하냐구요..,6
"수지야. 전번에 얘기 했었잖아.       우리 처지에 무슨 극단이야.         그래, 내가 미안해. 내가 능력도 없고, 돈도 없어서        너 좋아하는 연기도 못 하게 하고.        내가 진짜 찌질한 거 아는데.         그렇다고 우리가, 부자들처럼 하고 싶은것만 할 수는 없잖아.",5
 그렇지.,6
그런 애들이 한 학교에 하나씩은 있지. 그런 애들을 모아다가 한 교실에 넣어놔야 되는데.,0
그래. 방금 툭 치고 갔잖아.,6
네 저도 평소랑 똑같이 공부하면서 지냈어요.,7
음… 근데 엄마 오늘 차 학교에 두고 왔는데?,4
너 요즘 뭐 억울한 일 생겼어? 이모한테 말해봐.,1
그럼 질러.,6
아니면 연세대 가면 되지. 연세대는 가기 쉽잖아.,7
허어.. 힘들긴 하겠구나. 아니 근데 그 남자친구란 놈은 무슨 정신으로 고딩을 만난대? 이거 신고해야 되는 거 아니야?,6
정말로! 뭔데 그래?,5
스펙이 ‘너무’ 좋으신 것 같애요. 이렇게 스펙이 좋은데 왜 여길 지원하셨어요.,1
응. 알았어. 엄마가 핸드폰에 메모해놓을게. 주말에 엄마랑 같이 가보자.,1
아... 제가 졸업하고 취직하는대로 바로...,4
재민이는 어떡해. 재민이 아빠 없는 애로 키울 수는 없잖아.,2
근데 집에 김치찌개 남은 거 있는데. 그거 먹어야 돼.          찌개 오늘 안 먹으면 쉴 것 같은데.,6
저기… 그거 제 핸드폰 아닌가요?,5
그럼 다른집 애들이랑 나랑 바꿔. 친구들한테 가서 말해. 내 손녀딸 좀 바꿔달라고!,6
아빠도 이 사람 알아?,1
헐. 너 해봤어?,5
나 피자 싫은데….,6
죄송합니다.,6
당연하지.,1
"잘한다 잘해.           어휴, 이번만 빌려줄게. 다음부턴 그러지 말고.",6
어머~ 얘기 들어보니까 작년까지 좀 받은 엄마들 있더만~,6
너는 어머니께 뭐라고 했어.,2
그런데요 목사님…,7
무슨 생각들긴?,6
뭐.,2
고럼! 사나이라면 몰빵이지!,7
